,Participant,Condition,TrialId,Score,ExpectedScore,NumClicks,TestEnv,HighRiskClicks
379,99,1,5,-45,-175.0,7,5,0
380,100,0,1,-15,-155.0,9,1,0
381,100,0,2,10,-140.0,10,2,0
382,100,0,3,75,-65.0,3,3,0
383,100,0,4,35,-120.0,5,4,0
384,100,0,5,-65,-75.0,11,5,2
395,104,2,1,65,-85.0,1,1,0
396,104,2,2,45,-130.0,3,2,0
397,104,2,3,70,-70.0,2,3,0
398,104,2,4,55,-90.0,4,4,0
399,104,2,5,-1455,-115.0,4,5,0
405,109,3,1,-285,-285.0,30,1,4
406,109,3,2,15,10.0,9,2,4
407,109,3,3,35,50.0,5,3,4
408,109,3,4,45,40.0,6,4,4
409,109,3,5,-65,-55.0,9,5,4
410,110,0,1,-135,-135.0,15,1,1
411,110,0,2,15,5.0,9,2,1
412,110,0,3,25,-170.0,8,3,0
413,110,0,4,30,5.0,6,4,1
414,110,0,5,-60,-150.0,6,5,0
415,112,2,1,35,-115.0,4,1,0
416,112,2,2,70,-60.0,1,2,0
417,112,2,3,105,-60.0,1,3,0
418,112,2,4,55,-85.0,1,4,0
419,112,2,5,-30,-100.0,0,5,0
420,113,1,1,25,35.0,4,1,1
421,113,1,2,35,40.0,6,2,1
422,113,1,3,80,70.0,3,3,1
423,113,1,4,35,45.0,3,4,1
424,113,1,5,-15,-35.0,6,5,2
425,115,0,1,-1440,-100.0,0,1,0
426,115,0,2,-1505,-100.0,0,2,0
427,115,0,3,35,30.0,7,3,3
428,115,0,4,60,60.0,4,4,2
429,115,0,5,-20,-175.0,5,5,2
430,116,2,1,10,-105.0,3,1,0
431,116,2,2,85,-60.0,1,2,0
432,116,2,3,-1460,-85.0,1,3,0
433,116,2,4,35,-95.0,2,4,0
434,116,2,5,-1455,-95.0,2,5,0
435,117,1,1,40,45.0,3,1,1
436,117,1,2,75,80.0,2,2,1
437,117,1,3,80,70.0,3,3,1
438,117,1,4,85,80.0,2,4,1
439,117,1,5,-85,-65.0,9,5,4
450,121,3,1,-125,-130.0,14,1,2
451,121,3,2,-35,-35.0,8,2,1
452,121,3,3,-25,-25.0,13,3,2
453,121,3,4,-50,-40.0,13,4,2
454,121,3,5,-150,-150.0,18,5,2
455,122,0,1,-45,-195.0,12,1,0
456,122,0,2,10,10.0,10,2,1
457,122,0,3,5,5.0,11,3,1
458,122,0,4,-50,-50.0,17,4,4
459,122,0,5,-115,-115.0,17,5,3
460,123,1,1,-80,-80.0,8,1,3
461,123,1,2,85,80.0,2,2,1
462,123,1,3,40,50.0,6,3,2
463,123,1,4,75,80.0,2,4,1
464,123,1,5,-40,-45.0,7,5,3
470,125,2,1,0,-115.0,4,1,0
471,125,2,2,50,-105.0,6,2,0
472,125,2,3,65,-90.0,4,3,0
473,125,2,4,60,-95.0,3,4,0
474,125,2,5,-40,-170.0,2,5,0
475,126,0,1,5,-110.0,1,1,0
476,126,0,2,95,-100.0,0,2,0
477,126,0,3,85,-60.0,1,3,0
478,126,0,4,50,-95.0,2,4,0
479,126,0,5,-5,-155.0,3,5,0
480,127,0,1,-1560,-185.0,12,1,1
481,127,0,2,-25,-25.0,6,2,1
482,127,0,3,25,25.0,8,3,1
483,127,0,4,5,5.0,11,4,1
484,127,0,5,-40,-40.0,10,5,1
485,128,3,1,-130,-130.0,13,1,3
486,128,3,2,25,30.0,7,2,2
487,128,3,3,75,80.0,2,3,1
488,128,3,4,25,25.0,5,4,2
489,128,3,5,-20,-15.0,4,5,1
490,129,3,1,-1485,-125.0,4,1,0
491,129,3,2,25,-10.0,6,2,1
492,129,3,3,25,-35.0,8,3,1
493,129,3,4,65,-125.0,4,4,0
494,129,3,5,-25,-175.0,5,5,0
500,131,2,1,-5,-150.0,8,1,0
501,131,2,2,-40,-180.0,14,2,0
502,131,2,3,-90,-225.0,19,3,0
503,131,2,4,20,-125.0,10,4,0
504,131,2,5,-1605,-255.0,18,5,0
505,132,0,1,30,-115.0,4,1,0
506,132,0,2,90,-60.0,1,2,0
507,132,0,3,50,-90.0,4,3,0
508,132,0,4,65,-90.0,4,4,0
509,132,0,5,-1475,-115.0,4,5,0
510,133,3,1,-250,-250.0,31,1,4
511,133,3,2,-170,-195.0,22,2,4
512,133,3,3,-175,-175.0,28,3,2
513,133,3,4,-60,-60.0,18,4,1
514,133,3,5,-150,-150.0,21,5,2
515,134,2,1,5,-125.0,5,1,0
516,134,2,2,75,-80.0,3,2,0
517,134,2,3,85,-70.0,2,3,0
518,134,2,4,65,-85.0,1,4,0
519,134,2,5,-1450,-130.0,3,5,0
525,136,1,1,30,35.0,4,1,1
526,136,1,2,75,-80.0,3,2,0
527,136,1,3,85,-80.0,3,3,1
528,136,1,4,30,55.0,2,4,1
529,136,1,5,-20,-175.0,5,5,1
530,139,3,1,-415,-415.0,49,1,4
531,139,3,2,-45,-40.0,15,2,2
532,139,3,3,35,35.0,7,3,1
533,139,3,4,25,25.0,7,4,1
534,139,3,5,-50,-70.0,9,5,1
535,141,3,1,-425,-425.0,44,1,2
536,141,3,2,10,-130.0,4,2,0
537,141,3,3,90,-105.0,1,3,0
538,141,3,4,85,-70.0,2,4,0
539,141,3,5,-1465,-115.0,4,5,0
540,142,2,1,60,-85.0,1,1,0
541,142,2,2,85,-60.0,1,2,0
542,142,2,3,-1460,-85.0,1,3,0
543,142,2,4,80,-120.0,2,4,0
544,142,2,5,-1460,-115.0,5,5,0
545,143,1,1,55,55.0,2,1,1
546,143,1,2,75,80.0,2,2,1
547,143,1,3,70,60.0,4,3,2
548,143,1,4,80,55.0,2,4,1
549,143,1,5,-40,-55.0,8,5,4
550,145,1,1,30,-115.0,4,1,0
551,145,1,2,55,60.0,4,2,1
552,145,1,3,75,70.0,3,3,2
553,145,1,4,40,25.0,5,4,2
554,145,1,5,-40,15.0,4,5,2
555,147,1,1,35,-115.0,4,1,0
556,147,1,2,50,-80.0,3,2,0
557,147,1,3,85,-70.0,2,3,0
558,147,1,4,85,-65.0,2,4,0
559,147,1,5,-15,-130.0,3,5,0
560,148,0,1,-1735,-1735.0,29,1,2
561,148,0,2,-175,-175.0,22,2,2
562,148,0,3,-185,-185.0,30,3,2
563,148,0,4,-205,-205.0,30,4,2
564,148,0,5,-260,-260.0,30,5,2
565,149,0,1,60,-110.0,1,1,0
566,149,0,2,95,-110.0,1,2,0
567,149,0,3,-1480,-130.0,3,3,1
568,149,0,4,60,-120.0,2,4,0
569,149,0,5,-15,-120.0,2,5,0
575,152,1,1,25,-105.0,3,1,0
576,152,1,2,90,-60.0,1,2,0
577,152,1,3,90,-60.0,1,3,0
578,152,1,4,55,-95.0,2,4,0
579,152,1,5,-1455,-130.0,3,5,0
580,153,0,1,-25,-155.0,8,1,0
581,153,0,2,45,-100.0,6,2,0
582,153,0,3,50,-85.0,5,3,0
583,153,0,4,35,-115.0,8,4,0
584,153,0,5,-1510,-150.0,9,5,0
595,158,2,1,15,-125.0,5,1,0
596,158,2,2,65,-80.0,3,2,0
597,158,2,3,70,-80.0,4,3,0
598,158,2,4,25,-125.0,5,4,0
599,158,2,5,-1475,-115.0,5,5,0
600,161,1,1,40,55.0,2,1,1
601,161,1,2,65,60.0,4,2,2
602,161,1,3,55,50.0,5,3,3
603,161,1,4,50,35.0,4,4,2
604,161,1,5,-55,-10.0,6,5,4
