,Participant,Condition,TrialId,Score,ExpectedScore,NumClicks,TestEnv,HighRiskClicks,GoalStrategy,ClickAgreement,GoalAgreement,SubgoalAgreement,TermAgreement,GoalTermAgreement,SubgoalTermAgreement
389,96,0,5,-50,-45.0,7,5,3,True,0.625,0.75,1.0,0.75,0.75,1.0
390,97,1,1,45,-120.0,2,1,0,False,0.0,,0.0,0.6666666666666666,,0.0
391,97,1,2,20,-120.0,2,2,0,False,0.0,,0.0,0.6666666666666666,,0.0
392,97,1,3,-1500,-130.0,3,3,0,False,0.0,,0.0,0.75,,0.0
393,97,1,4,45,-130.0,3,4,0,False,0.0,,0.0,0.75,,0.0
394,97,1,5,-10,-110.0,1,5,0,False,0.0,,0.0,0.5,,0.0
395,98,1,1,-5,15.0,6,1,1,True,0.42857142857142855,0.25,0.5,0.75,0.25,0.5
396,98,1,2,85,-60.0,1,2,0,False,0.5,1.0,,0.5,1.0,
397,98,1,3,80,-75.0,3,3,0,True,0.25,0.5,0.0,0.75,0.5,0.0
398,98,1,4,70,50.0,5,4,1,True,0.5,0.25,1.0,1.0,0.25,1.0
399,98,1,5,-1470,-115.0,5,5,0,True,0.5,0.75,0.0,0.8333333333333334,0.75,0.0
400,99,0,1,-25,-15.0,9,1,4,False,0.2,1.0,0.5,0.6,1.0,0.4166666666666667
401,99,0,2,0,0.0,10,2,4,False,0.2727272727272727,1.0,0.5,0.5833333333333334,1.0,0.6666666666666667
402,99,0,3,0,15.0,9,3,4,False,0.1,0.0,0.5714285714285714,0.5625,0.5,0.4166666666666667
403,99,0,4,25,-5.0,9,4,3,False,0.2,0.3333333333333333,0.5,0.5625,0.3333333333333333,0.6666666666666666
404,99,0,5,-85,-75.0,11,5,4,False,0.08333333333333333,0.0,0.5714285714285714,0.5454545454545454,0.25,0.7142857142857143
410,102,0,1,60,-110.0,1,1,0,False,0.0,,0.0,0.5,,0.0
411,102,0,2,85,-110.0,1,2,1,False,0.5,,1.0,1.0,,1.0
412,102,0,3,-1460,-110.0,1,3,0,False,0.0,,0.0,0.5,,0.0
413,102,0,4,55,40.0,1,4,1,False,0.5,,1.0,1.0,,1.0
414,102,0,5,5,-100.0,0,5,0,False,0.0,,,0.0,,
420,105,0,1,-145,-160.0,16,1,4,False,0.058823529411764705,0.0,0.3333333333333333,0.5333333333333333,0.5,0.6818181818181819
421,105,0,2,-10,-15.0,5,2,1,False,0.16666666666666666,0.0,0.25,0.625,1.0,0.8333333333333333
422,105,0,3,-1490,-100.0,0,3,0,False,0.0,,,0.0,,
423,105,0,4,-15,-15.0,11,4,1,False,0.08333333333333333,0.0,0.1,0.5454545454545454,1.0,0.2
424,105,0,5,-80,-80.0,8,5,3,False,0.1111111111111111,0.0,0.6,0.5625,0.6666666666666666,0.8
425,106,1,1,20,-125.0,5,1,0,False,0.16666666666666666,0.25,0.0,0.8333333333333334,0.5,0.0
426,106,1,2,45,40.0,6,2,2,False,0.2857142857142857,0.25,1.0,1.0,0.25,1.0
427,106,1,3,-55,-55.0,15,3,2,True,0.1875,0.3333333333333333,0.16666666666666666,0.5416666666666666,0.3333333333333333,0.5
428,106,1,4,40,15.0,6,4,3,False,0.2857142857142857,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0
429,106,1,5,-1455,-115.0,4,5,0,False,0.6,0.75,,0.8,0.75,
430,107,0,1,-5,-155.0,6,1,0,False,0.0,,0.0,0.8571428571428571,,0.3333333333333333
431,107,0,2,5,-175.0,8,2,1,False,0.1111111111111111,,0.125,0.5625,,0.75
432,107,0,3,-1525,-140.0,5,3,0,False,0.0,,0.0,0.8333333333333334,,0.4
433,107,0,4,70,-100.0,0,4,0,False,0.0,,,0.0,,
434,107,0,5,-5,-120.0,3,5,0,False,0.0,,0.0,0.75,,0.0
435,108,1,1,15,-100.0,0,1,0,False,0.0,,,0.0,,
436,108,1,2,10,-5.0,3,2,1,False,0.75,1.0,1.0,1.0,0.5,1.0
437,108,1,3,100,-60.0,1,3,0,False,0.5,1.0,,0.5,1.0,
438,108,1,4,50,55.0,2,4,1,True,1.0,1.0,1.0,1.0,1.0,1.0
439,108,1,5,0,-145.0,2,5,0,False,0.6666666666666666,1.0,,0.6666666666666666,0.5,
440,109,0,1,-130,-120.0,18,1,2,False,0.2631578947368421,0.75,0.14285714285714285,0.5416666666666666,0.75,0.5666666666666667
441,109,0,2,40,30.0,6,2,1,False,0.42857142857142855,1.0,0.2,0.625,1.0,0.125
442,109,0,3,25,25.0,8,3,1,True,0.3333333333333333,1.0,0.14285714285714285,0.6,1.0,0.6
443,109,0,4,35,-120.0,8,4,0,True,0.1111111111111111,0.3333333333333333,0.0,0.8888888888888888,0.3333333333333333,0.8
444,109,0,5,-65,-75.0,11,5,2,False,0.4166666666666667,1.0,0.25,0.625,1.0,0.5333333333333333
445,110,1,1,0,-170.0,7,1,1,True,0.25,1.0,0.16666666666666666,0.6666666666666666,0.0,0.6666666666666666
446,110,1,2,25,-170.0,7,2,1,True,0.125,1.0,0.16666666666666666,0.875,0.0,0.6666666666666666
447,110,1,3,-1505,-170.0,7,3,1,True,0.375,1.0,0.16666666666666666,0.6666666666666666,1.0,0.6666666666666666
448,110,1,4,10,10.0,7,4,1,True,0.375,1.0,0.16666666666666666,0.6666666666666666,1.0,0.6666666666666666
449,110,1,5,-50,-50.0,7,5,1,True,0.25,1.0,0.16666666666666666,0.6666666666666666,0.0,0.6666666666666666
450,111,1,1,0,10.0,7,1,1,True,0.375,0.25,0.3333333333333333,0.6666666666666666,0.25,0.3333333333333333
451,111,1,2,55,-85.0,4,2,0,True,0.2,1.0,0.0,0.8,1.0,0.6666666666666666
452,111,1,3,40,-105.0,7,3,0,True,0.125,1.0,0.0,0.875,1.0,0.8333333333333334
453,111,1,4,35,-115.0,5,4,0,True,0.16666666666666666,1.0,0.0,0.8333333333333334,1.0,0.75
454,111,1,5,-1485,-130.0,7,5,0,True,0.375,0.75,0.0,0.875,0.75,0.6666666666666666
455,112,1,1,65,-110.0,1,1,0,False,0.0,,0.0,0.5,,0.0
456,112,1,2,30,-110.0,1,2,0,False,0.0,,0.0,0.5,,0.0
457,112,1,3,80,-110.0,1,3,0,False,0.0,,0.0,0.5,,0.0
458,112,1,4,110,-110.0,1,4,0,False,0.0,,0.0,0.5,,0.0
459,112,1,5,5,-100.0,0,5,0,False,0.0,,,0.0,,
460,113,0,1,-140,-140.0,21,1,1,True,0.13636363636363635,0.25,0.058823529411764705,0.5833333333333334,0.25,0.7166666666666667
461,113,0,2,85,-60.0,1,2,0,False,0.5,1.0,,0.5,1.0,
462,113,0,3,85,-70.0,2,3,0,False,0.3333333333333333,0.5,,0.6666666666666666,0.5,
463,113,0,4,65,-90.0,4,4,0,False,0.2,0.25,,0.8,0.25,
464,113,0,5,-1460,-115.0,4,5,0,False,0.6,0.75,,0.8,0.75,
465,114,1,1,-1460,-145.0,2,1,0,False,0.6666666666666666,1.0,,0.6666666666666666,0.5,
466,114,1,2,10,-5.0,3,2,1,True,0.5,0.5,1.0,0.75,0.5,1.0
467,114,1,3,80,80.0,2,3,1,True,1.0,1.0,1.0,1.0,1.0,1.0
468,114,1,4,70,-85.0,1,4,0,False,0.5,1.0,,0.5,1.0,
469,114,1,5,-1435,-110.0,1,5,0,False,0.5,1.0,,0.5,0.0,
475,116,0,1,-405,-405.0,41,1,4,False,0.047619047619047616,0.25,0.10810810810810811,0.5151515151515151,0.25,0.48039215686274506
476,116,0,2,-30,-5.0,11,2,4,False,0.16666666666666666,0.25,0.5714285714285714,0.55,0.25,0.7142857142857143
477,116,0,3,35,20.0,8,3,4,False,0.1111111111111111,0.0,0.6666666666666666,0.5625,0.5,1.0
478,116,0,4,25,20.0,8,4,4,False,0.2222222222222222,0.25,1.0,0.5833333333333334,0.25,1.0
479,116,0,5,-105,-85.0,13,5,4,False,0.21428571428571427,0.6666666666666666,0.4,0.55,0.75,0.9
480,117,1,1,10,15.0,6,1,1,True,0.42857142857142855,0.25,0.5,0.75,0.25,0.5
481,117,1,2,75,80.0,2,2,1,True,1.0,1.0,1.0,1.0,1.0,1.0
482,117,1,3,60,70.0,3,3,1,True,0.75,0.5,1.0,1.0,0.5,1.0
483,117,1,4,45,50.0,5,4,1,True,0.5,0.25,1.0,1.0,0.25,1.0
484,117,1,5,-1455,-115.0,4,5,0,False,0.6,0.75,,0.8,0.75,
